id,url,title,text
20211104100000-1168,https://en.mercopress.com/2021/11/04/argentina-s-trade-balance-with-brazil-ends-up-positive-for-2nd-straight-month,"Argentina's trade balance with Brazil ends up positive for 2nd straight month

4th Thursday, November 2021 - 09:55 UTC Full article

For Argentina, the first 10 months of 2021 showed a 45.4% YoY increase in exports and a 46.3% yoy increase in imports. Hence the deficit.

Argentina's trade balance with Brazil yielded positive results for the second straight month in October 2021. However, numbers for the first 10 months of the year are still in the red.

After eight months of deficit, positive outcomes in two months were still insufficient for Argentina to surmount the trade deficit with the neighbour and Mercosur partner, which stands currently at US $ 510 million, according to data from Brazil's Special Secretariat for Foreign Trade and International Affairs (SECINT).

Nevertheless, Argentine exports have reached a record in seven years, after October's US $ 92 million surpluses. Exports to Brazil registered a year-on-year growth of 50.7% to total about US $ 1.218 million, the highest amount since September 2014, driven by sales of vehicles, wheat and corn.

On the other hand, imports climbed 37.6% annually, boosted by purchases of iron and steel.

Thus, the volume of trade between the two countries reached US $ 2,344 million, the highest in more than three years.

A report by the consulting firm Abeceb explained that Argentina's restrictions on car imports and Brazil's difficulties in exporting due to the lack of supply of semiconductor chips, led to these results, in addition to the crisis for hydroelectric generation in Brazil due to the drought, which favoured Argentine exports.

The accumulated commercial exchange so far in 2021 was 11.4% above that of the same period of 2019, which shows a recovery from pre-pandemic times.

For Argentina, the first 10 months of 2021 showed a 45.4% YoY increase in exports and a 46.3% YoY increase in imports. Hence the deficit.

”Historically, it has been seen that recoveries in trade are accompanied by a greater red in the foreign exchange balance for Argentina, given that the trade balance with Brazil has been in deficit since 2004 (except in 2019) due to the wide industrial asymmetries,” Abeceb's report explained.

“This fact is relevant considering that we expect the domestic economy to grow faster than the Brazilian in 2021 (+ 7.9% vs + 4.9% annually) and 2022 (+ 2% vs + 1.2%), it went on.

The consulting firm also foresees that in the short term trade will continue to increase hand in hand with the exit from the pandemic but some uncertainty still lingers for 2022.

Brazil is going through successive cuts in the economic expansion projections and the erosion in consumer and industrial confidence, in addition to a more contractionary monetary policy amid growing inflation, plus uncertainty stemming from the presidential elections.

Abeceb also highlighted Argentina's restrictions on currency exchange, which could affect trade as a devaluation of the peso is highly anticipated.

Additionally, normalization of the difficulties faced by global supply chains will take time to come, so it is expected that a certain shortage of key inputs (such as chips) will continue, preventing a smooth operation of manufacturing activity, and with it, Finally, although the outlook improved in September and October, the historical downspout of the Paraná River will continue to be a factor to monitor since the prospect of drought for the coming months suggests that it could continue to hinder the normal trade flow between the two countries,” the report added.

(Source: Ambito)",Argentina's trade balance with Brazil ends up positive for 2nd straight month
20211105093000-870,https://en.mercopress.com/2021/11/05/brazilian-livestock-producers-will-have-to-deal-with-manure-differently-to-meet-glasgow-s-goals,"Brazilian livestock producers will have to deal with manure differently to meet Glasgow's goals

5th Friday, November 2021 - 09:03 UTC Full article

“There will have to be planning, an adaptation to this (COP26 agreement),” Mourao said

Following Glasgow's declaration whereby the world -Brazil's delegation included- has agreed to reduce the emission of methane gas by 30% by 2030, Brazilian livestock producers have realized they will need to adjust their work so that the country can fulfil such a commitment.

Vice President Hamilton Mourao addressed this issue saying his country will have a hard job dealing with the emission of methane gas, generated by manure.

”The issue of methane is linked to the excrement of livestock (activity), we have a huge cattle herd, there will have to be planning, and adaptation to this (COP26 agreement), Mourao said.

In 2020 Brazil had 218 million heads of cattle, according to a report published last month by the Brazilian Institute of Geography and Statistics. Between 2019 and 2020 the number of heads grew by 1.5%, boosted by growth in meat exports.



General Mourao is the head of the Amazon Council, a body made up of several ministries, which sets policy guidelines on the rainforest where cattle-producing farms have multiplied.

We have a deadline to adapt, a large part of the producers are already working to collect the manure and then burn it so that it does not pollute the atmosphere,” said the vice president.

The devastating loss of forests is one of the most exposed problems at COP26, which ended up placing the spotlight on Brazil's Amazon rainforest and the rainforest in Congo, after 124 leaders signed the 'Glasgow Leaders' Declaration on Forests and Land Use,' Brazil's delegation among them.

Meeting Glasgow's goals will require transformative actions, such as the ones Mourao addressed.",Brazilian livestock producers will have to deal with manure differently to meet Glasgow's goals
20211110233000-T295,https://es.mercopress.com/2021/11/10/los-objetivos-sostenibles-requieren-financiacion-dice-en-glasgow-un-ministro-brasileno,"Los objetivos sostenibles requieren financiación, dice en Glasgow un ministro brasileño

Leite es la máxima autoridad de Brasil en Glasgow después de que Bolsonaro decidiera no asistir

El ministro de Medio Ambiente de Brasil, Joaquim Leite, exigió a los asistentes a la Cumbre Climática COP26 de Glasgow que corresponde a los países más ricos del mundo proporcionar el financiamiento de las estrategias de desarrollo limpio de las naciones menos avanzadas económicamente.

Necesitamos más recursos que los US $ 100 mil millones; estos días llegó un estudio de un banco que habla de US $ 5 billones, dijo Leite en la capital escocesa.

Los países en desarrollo necesitan financiación para remodelar sus economías y adaptarse a los objetivos mundiales de reducir las emisiones de carbono y los gases de efecto invernadero.

”¿Cuál es el gran desafío en esta segunda semana (COP26)? Hablar de financiamiento e incentivos para llevar a cabo proyectos ambientalmente sustentables, explicó Leite.

El ministro estaba siguiendo los pasos del presidente brasileño Jair Bolsonaro, quien señaló por primera vez la necesidad de apoyo financiero a su colega estadounidense Joseph Biden en abril de este año.

El delegado brasileño insistió en que su país se había comprometido a eliminar por completo la deforestación ilegal de la Amazonía y otros biomas para el 2028 y reducir las emisiones de carbono en un 50% para el 2030.

Leite es el dignatario de más alto rango de Brasil en la Cumbre luego de la decisión de Bolsonaro de no asistir al evento global. Se dice que durante la presidencia de Bolsonaro, la deforestación de la Amazonia ha crecido drásticamente.

El papel de Brasil en la COP26 es buscar un consenso multilateral para que podamos avanzar hacia una economía más verde; el desafío no es detener el desarrollo económico en la Amazonía, dijo Leite este martes.

“Creo que el desafío global es una transición responsable hacia la neutralidad de carbono. Rápido, pero responsablemente”, señaló también Leite.

El ministro citó asimismo un estudio del grupo Boston Consulting según el cual el mundo necesitará US $ 150 mil millones durante los próximos 30 años si quiere cumplir los objetivos del Acuerdo de París.

El papel de Brasil [en la COP26] es tratar de encontrar un consenso multilateral para avanzar de manera justa hacia una economía más verde. El gran desafío es el financiamiento, el incentivo [financiero]. El desafío no es castigar, prohibir o detener [el desarrollo económico]. Se trata de acelerar hacia una nueva economía verde. ¿Y cómo lo hago? Incentivando. Con innovación”, dijo Leite.

“Brasil apoya claramente este movimiento de que la solución para una nueva economía, neutral en emisiones, radica en el incentivo, en el emprendimiento, en el interés verde, que hace que cualquier proyecto se mantenga. Y muchos proyectos, en algunas regiones, todavía no tienen la capacidad para hacer esta transición que todos esperan”, explicó el funcionario.","Los objetivos sostenibles requieren financiación, dice en Glasgow un ministro brasileño"
20211102093000-1088,https://en.mercopress.com/2021/11/02/australian-firm-pledges-us-8-bn-to-green-hydrogen-development-in-argentina,"Australian firm pledges US $ 8 bn to green hydrogen development in Argentina

2nd Tuesday, November 2021 - 09:05 UTC Full article

”Our country will shortly be able to become one of the world suppliers of this fuel that will allow to drastically reduce carbon emissions in the world,” President Fernández said

The Argentine Government has reached an understanding with a leading Australian firm to move forward with local production of clean energy. President Alberto Fernández made the announcement Monday from Glasgow, where he is attending the UN COP26 Climate Summit.

Fernández met in Scotland with businessmen from the Australian firm Fortescue, who pledged to invest over US $ 8 billion to produce green hydrogen.

During the meeting, Fernández was joined by Productive Development Minister Matías Kulfas, Foreign Minister Santiago Cafiero, Secretary for International Economic Relations Cecilia Todesco, and Kulfas' adviser Marcelo Kloster.

The company was represented by Andrew Forrest (President), Julie Shuttleworth (CEO), Agustín Pichot (President for Latin America), Todd Clewett (Senior Global Manager) and Sebastián Delgui (Regional Manager of Government and Communities for Latin America).

Fernández had already held a meeting via videoconference in Nov. 2020 with representatives of Fortescue Metals Group, who had expressed their interest in investing in Argentina in the generation of renewable energy and the production of minerals. within the framework of what they call green industry.

Fortescue has already begun prospecting in the province of Río Negro with a view to the production of green hydrogen at an industrial scale, which will require an investment of US $ 8.4 billion and will create over 15,000 direct jobs and between 40,000 and 50,000 indirect sources of income, it was reported.

The development is expected to turn Río Negro into a global green hydrogen export pole by 2030, with a production capacity of 2.2 million tons per year, tantamount to almost 10% of the electricity consumed by Germany in one year.

Fernández said, Argentina has a great opportunity ahead and it needs companies like this, that invest and generate work. The President also highlighted green hydrogen is one of the fuels of the future and it fills us with pride that Argentina is one of the countries that are at the forefront of the ecological transition.

Our country will shortly be able to become one of the world suppliers of this fuel that will allow to drastically reduce carbon emissions in the world,” Fernández went on.

The head of state also praised the social responsibility of the company to build with the best values of the communities, and particularly of former international rugbier Agustín Pichot.

We are ready to invest in Argentina, we are a cutting-edge energy company that hires people and we train people, and that is what we want to do in your country. We are here so that Argentina is a world leader in renewable energy and to be an exporter,” Fortescue's Forrest said.

The project will be developed around the city of Sierra Grande, which has a history of iron ore production. The first productive stage, with an estimated investment of US $ 7.2 billion, will produce some 215,000 tons of green hydrogen, which would cover the electricity consumption of 1.6 million homes, and will run until 2028.",Australian firm pledges US $ 8 bn to green hydrogen development in Argentina
20211103043000-889,https://en.mercopress.com/2021/11/03/energy-exports-to-brazil-to-finance-argentina-s-infrastructure-works,Sin datos,Sin datos
20211102104500-787,https://en.mercopress.com/2021/11/02/not-yet-on-track-climate-threat-demands-more-ambitious-global-action,"Not Yet on Track: Climate Threat Demands More Ambitious Global Action

2nd Tuesday, November 2021 - 08:40 UTC Full article

To put global emissions within range of a 2 degrees target would cost 0.2 to 1.2 percent of GDP, with the biggest burden falling on richer countries





By Kristalina Georgieva, IMF Managing Director – In 1785, Robert Burns reflected on how humanity has come to dominate our planet: “I’m truly sorry man’s dominion, has broken nature’s social union,” he wrote. The Scottish poet’s words still ring true two centuries later.

Man-made climate change threatens our planet’s ecosystem and the lives and livelihoods of millions of people. From the IMF perspective, climate change presents a grave threat to macroeconomic and financial stability.

Now, the window of opportunity for containing global warming to 1.5 to 2 degrees Celsius is closing rapidly.

As world leaders gather in Glasgow for COP26, a new IMF Staff Climate shows unchanged global policies will leave 2030 carbon emissions far higher than needed to “keep 1.5 alive.” Cuts of 55% below baseline levels in 2030 would be urgently needed to meet that goal, and of 30% to meet the 2 degrees Celsius objective.

To achieve these cuts, policymakers attending COP26 must address two critical gaps: in ambition and in policy.

The global mitigation ambition gap

135 countries representing more than three-quarters of global greenhouse gas emissions have committed to net zero by mid-century. But we fall short in pledges for the near term. Even if current commitments for 2030 were met, this would only amount to between one and two-thirds of the reductions needed for temperature goals.

Advanced economies are expected to cut emissions more rapidly for reasons of equity and historical responsibility. They have collectively pledged to cut their emissions 43% below 2030 levels.

At the same time, higher-income emerging market economies have together pledged a 12% cut, and lower-income emerging market economies, 6%.

However, the Climate Note shows regardless of how cuts are spread across country groups, everyone has to do more.

For example, getting in the range of the 2 degrees target could be achieved with emissions cuts from advanced economies, high-income emerging markets, and low-income emerging markets of 45, 30, and 20 percent, respectively. A different balance of effort with cuts of 55, 25, and 15 percent would achieve the same goal, as would a weighting of 65, 20, and 10 percent.

To stay on track for 1.5 degrees, much more ambitious reductions are required for the same groups of countries. For example,70, 55, and 35 percent, or 80, 50, and 30 percent below 2030 baseline levels.

The good news is abatement costs are manageable. To put global emissions within range of a 2 degrees target would cost 0.2 to 1.2 percent of GDP, with the biggest burden falling on richer countries. And in many nations, the cost of shifting away from fossil fuels may be offset by domestic environmental benefits, most notably reductions in deaths from local air pollution.¬¬

Enhanced external financing will be essential to support stronger mitigation ambition for emerging markets and developing economies. Advanced economies must fulfill their commitment to provide US$ 100 billion per year in finance to low-income countries from 2020 onward. The most recent figures show that we remain short of that target.

In addition, to scale up private financing, certainty over public mitigation objectives will be critical, especially price signals to level the playing field for clean technologies. Also critical will be better-quality and standardized information, so investors can help address perceived risks, including in low-income countries.

The global mitigation policy gap

Even with sufficiently ambitious pledges, we still need policies to implement the emissions cuts.

Carbon pricing—charges on the carbon content of fuels or their emissions—should play a central role, especially for large emitters. At a stroke, it provides a price signal to redirect private investment to low carbon technologies and energy efficiency.

But the gap between what’s required versus what’s in place is very large. A global carbon price exceeding US$ 75 per ton would be needed by 2030, to keep warming below 2 degrees.

At the international level, coordination will be critical to overcome political economy constraints and scale up carbon pricing. Think of concerns about competitiveness and uncertainty over policy actions that make it difficult for countries to act alone.

Addressing these issues is at the heart of an IMF staff protocol for an international carbon price floor among a small group of large emitters.

Such a floor would be equitable, with differentiated pricing for countries at different levels of economic development, alongside financial and technological assistance for low-income participants. And the price floor arrangement would be pragmatic, allowing for national implementation through non-pricing measures that achieve equivalent outcomes.

It would be collaborative, helping avoid contentious border carbon adjustments if some countries move ahead with robust pricing while others do not.

At the domestic level, carbon pricing reforms could jump-start emissions reductions. Critically, this need not come at the cost of the economy. Recent empirical studies suggest that carbon pricing reforms have not reduced GDP or employment. Indeed, such reforms could support long-run growth objectives. Revenues from carbon pricing—typically around 1 percent of GDP or more—can be used to reduce labor taxes or increase public investments, helping boost the economy.

These are just some examples of how mitigation strategies can—and must—bring wider benefits at all levels of society. Policymakers should ensure a just transition with robust assistance for vulnerable households, workers, and regions.

For instance, carbon pricing reforms can be equity-enhancing and pro-poor. If revenues are used to strengthen social safety nets and raise personal income tax thresholds, the policy has net benefits to poorest groups and neutral impacts on the middle class. Alternatively, revenues could be used for public investments in health or education.

Another key ingredient of any mitigation strategy is green public investment. We need to accelerate the adoption of clean technology infrastructure like smart grids and charging stations for electric vehicles. Working together, not only do private and public investments in clean energy have especially powerful growth effects, low-carbon industries also tend to be more labor-intensive than fossil fuels which can help boost employment.

Lastly, all reforms should also be introduced progressively and well-communicated, so firms and households can adjust. They should also cover broader emissions sources, such as methane, and enhance forest carbon storage.

The urgency of action

Without an urgent narrowing of ambition, policy, and financing gaps, a dangerous cliff-edge for emissions reductions beyond 2030 will be set up—greatly increasing transition costs, and potentially putting temperature goals permanently beyond reach.

An orderly, cooperative, and timely transition can and must happen. Now.

In the words of Robert Burns again: “Now’s the day, and now’s the hour.”",Not Yet on Track: Climate Threat Demands More Ambitious Global Action
20211102104500-612,https://en.mercopress.com/2021/11/02/greta-thunberg-says-cop26-leaders-only-pretend-to-care,"Greta Thunberg says COP26 leaders only “pretend” to care

2nd Tuesday, November 2021 - 09:50 UTC Full article

Thunberg had met with Scotland's First Minister Nicola Sturgeon, who reportedly endorsed her struggle.

Swedish teenage climate activist Greta Thunberg said in the streets of Glasgow that “Leadership is out here, not inside COP26.”

Thunberg made those remarks while participating in a demonstration of environmentalist groups next to the convention centre where the climate summit is taking place. Change will not come from there because leadership is out here, not inside COP26, she stressed.

“We say no more 'blah blah blah,' no more exploitation of people, nature and the planet; no more whatever they do in there, Thunberg told reporters at Festival Park, on the banks of the River Clyde, which runs alongside COP26.

Thunberg arrived in Glasgow Sunday by train and plans to take part in two large protests by the end of the week, one on Nov. 5 organized by Fridays for Future and another on Nov. 6 scheduled by various British environmental organizations.

Within the COP there are only politicians and people in power who pretend to take our future seriously, who pretend to take seriously the presence of the people who are already being affected today by the climate crisis. The change will not come from there. That's not leadership. This is leadership, Thunberg insisted while pointing at the protesters.

Earlier Monday, Thunberg had met with Scotland's First Minister Nicola Sturgeon, who reportedly endorsed her struggle.

More than a million people signed an open letter from Thunberg in which she demands that leaders face the climate emergency. It sets out requirements that governments must meet to address climate change, including maintaining the goal of preventing the global temperature from rising more than 1.5 ° C this century from pre-industrial levels.

Activist groups plan noisy demonstrations during COP26, especially in the coming days.

One of the most organized, Extinction Rebellion, appeared to hint at its willingness to provoke riots and arrests as a way to garner the attention of world leaders. The Glasgow Times said police would not rule out hundreds of arrests a day. Although the environmental group did not advance how or where it will protest, it confirmed that it will use non-violent direct action. The British Government has deployed more than 10,000 specially trained officers equipped with high-tech devices.

Meanwhile, Greenpeace has been authorized by Scottish authorities to navigate with its Rainbow Warrior boat on the River Clyde, which passes through Glasgow. The organization has insisted on its determination to reach the city with the ship, even though the authorities prohibited it from entering the port.

The Latinas for Climate was also present at Thunberg's speech to protest against the extractivist model that finances technology to confront climate change, but that goes beyond the rights of women, according to Chilean activist Karin Watson.

This model steals, smears and pollutes the lands of indigenous peoples,” Watson added about the extraction of lithium, a strategic metal that is essential for the manufacture of batteries that power zero-emission electric vehicles.

To add to Glasgow's chaos, some 1,500 garbage collectors have gone on a strike to demand better wages, leaving containers empty and the streets stenchy.",Greta Thunberg says COP26 leaders only “pretend” to care
20211109094500-905,https://en.mercopress.com/2021/11/09/colombian-president-says-his-country-and-israel-are-sister-nations,"Colombian President says his country and Israel are sister nations

9th Tuesday, November 2021 - 09:22 UTC Full article

Colombian leaders are all out to develop businesses relations worldwide

Colombian President Iván Duque Monday said his country and Israel were “sister nations” that share principles of defence of democracy and private initiative.

Duque's words came in Jersusalem during a meeting with his Israeli counterpart Isaac Herzog, during which the South American leader confirmed a trade mission (INNpulsa – the Colombian government agency for entrepreneurship and innovation) office was to be open in Jerusalem, in addition to the possibility of having a permanent ProColombia (the agency promoting tourism. exports and investment) delegation at the main trading centres of Israel.

“Colombia and Israel have had diplomatic relations since 1949 and, over the years, they have been strengthening in cooperation, investment and trade. But I dare to say the following: we are today at the highest point in the bilateral relationship, expressed in the fact that during my government the free trade agreement (FTA) between Colombia and Israel has been signed, ratified and put into operation.”

Duque also pointed out that there were already 79 Colombian companies interacting with Israel and we can, perfectly, triple that number of companies, soon.

“Colombia and Israel share intelligence information, strategic information and fight against international terrorism. We have struck very important blows thanks to that cooperation,” Duque went on.

“What we have built over the years is not just a business relationship, an investment relationship. We share principles such as the defence of democracy, security as a democratic value and as a public good. And, above all, private initiative is the engine of development. So, President Herzog, thank you for receiving us, for your hospitality and we reiterate that we are waiting for you in our country.” Duque added.

Duque also stressed that INNpulsa's presence in Israel was aimed at turning Colombia into the Silicon Valley of Latin America. He also expressed his interest in working hand in hand with all Israeli technological innovation and entrepreneurship centres. “We are clear, Mr President, that with this relationship there will be many more Colombian companies that will interact with this country. Today we already have 79 and we can, perfectly, triple that number of companies soon.

The Colombian leader also addressed climate change, biodiversity, sustainability and adaptation, on which he aspires that we can also work hand in hand, and stressed: Colombia today leads the energy transition in Latin America, Colombia is moving forward in non-conventional renewable energies,” particularly regarding green hydrogen.

“We have decided that 30% of our territory be declared a protected area by the year 2022. And that, as you and I spoke about it, opens up a huge opportunity so that, through credits of carbon, countries like Israel can also help Colombia participate in financing schemes and, at the same time, within the schemes of carbon markets move towards carbon neutrality.”

The Colombian president added: “With all this, Mr President, I believe that our relations are advancing and we want them to be stronger. And, from now on, I reiterate what I told you in private, and I tell you in public, we want you to visit Colombia, we want you to be able to see on the ground all these areas that we have worked on,” Duque insisted.

Meanwhile, Colombian Vice President and Foreign Minister Marta Lucía Ramírez met Monday in Tokyo with Japan's Cabinet Chief Hirokazu Matsuno. We want Japanese companies to see Colombia as the best platform to develop their products and reach all markets in the region, Ramírez said, according to a Colombian Foreign Ministry statement.

Ramírez is on tour in search of cooperation and financing for projects in the field of non-conventional renewable energy and infrastructure.

Both officials also spoke about the joint vision of sustainable economic development that Colombia and Japan share, which, according to Ramírez, opens a window of opportunity for the exploration of new projects and cooperation agreements in areas such as non-conventional renewable energy and infrastructure.

The Vice President also met with Nobumitsu Hayashi, deputy governor of the Japan Bank for International Cooperation (JBIC), to whom she expressed the need for support for Colombia to spread unconventional renewable energies by multiplying by 50 the installed capacity by 2022.

In this sense, the JBIC offered to be a bridge to attract more Japanese investment to the country in projects of this type and infrastructure, said the Foreign Ministry.

Ramírez also met with Masato Miyachi, vice president of the Mitsubishi UFJ Financial Group (MUFG), with Makoto Takashima, president of the Sumitomo Mitsui Banking Corporation (SMBC) and with Shinichi Kitaoka, president of the Japan International Cooperation Agency (JICA), with whom she discussed renewable energy and investment opportunities in infrastructure and energy in Colombia.",Colombian President says his country and Israel are sister nations
20211102101500-68,https://en.mercopress.com/2021/11/02/uruguayan-exports-on-the-rise-report-shows,"Uruguayan exports on the rise, report shows

2nd Tuesday, November 2021 - 09:43 UTC Full article

The international price of meat is exceptionally high “mainly due to the greater dynamism of the Chinese market and the cessation of exports by Argentina,” the report said

Beef, meat by-products and wood have boosted Uruguayan exports, which were reported to have grown 17.2% overall in October, it was announced Monday in Montevideo. Meat sales once again reached record figures.

Export applications —including duty-free zones— totalled US $ 897 million in October, which represented an increase of 17.2% compared to the same month in 2020, the Uruguay XXI Institute reported Monday.

Meanwhile, exports from customs -that is outside duty-free zones- reached US $ 782 million last month, a 16.6% growth compared to October last year.

Between January and October 2021, exports grew 31% YoY and 12% above pre-pandemic figures from January to October 2019, according to Uruguay XXI.

In October 2021, beef set a historical record, being once again the main exported item and the one with the greatest impact on the evolution of total exports. Sales worth US $ 259 million meant a 75% YoY increase.

The favourable evolution that occurred in October is explained by higher sales of beef, cellulose, meat by-products and wood. On the other hand, the products with the greatest negative impact on the variation of the month were soybeans, electricity, rice and pharmaceutical products, the report said.

Also in October, there was a significant increase in the movement of containers in the port of Montevideo, according to the National Port Administration posting on Twitter, with 54,748 containers moved, against 37,055 last year, which represents a growth of 47.74%.

Between October 2020 and October 2021, sales grew 23.7% or 31.3% if exports from duty-free zones are taken into account. This rise is explained by the increase in exports to China and the United States.

China remains Uruguay's main trading partner after an increase of 77.29% due to higher placements of meat, wood, dairy products and fish, among other items.

Uruguay XXI highlighted that ”the international price of meat is at exceptionally high values due to the strong recovery in world demand, mainly due to the greater dynamism of the Chinese market and the cessation of exports by Argentina, one of the largest meat producers in the world. Specifically, during October the export price was 28.3% higher than the same month in 2020.”

The main buyer of this product was China, which accounted for 71% of sales (US $ 184 million), which meant a variation of 95% compared to the same month of 2020. The beef was also sold to the European Union (10%), the United States (7%), Brazil (3%) and Japan (2%).

Cellulose sales abroad also rose 30% compared to October 2020. This increase “is exclusively due” to an improvement in the average export price, “which in the last quarter was close to” US $ 650, 63% above its average value in 2020.

Beverage concentrate exports totalled US $ 53 million. Mexico was the main destination with US $ 13 million (29% more than in October 2020), followed by Guatemala (US $ 8 million, 13% above Oct. 2020).

“In the accumulated of the year, sales reached 509 million dollars, 24% higher in year-on-year terms. The positive evolution for the year as a whole responds to an increase in export volumes (17%), which is accompanied by a 7% higher price compared to 2020 ”, the reports indicate.

As for meat by-products, exports doubled compared to October 2020, totalling US $50 million. ”The main destinations were China (51%), the United States (16%), Hong Kong (8%), the European Union (8%) and Russia (7%).”

On the other hand, dairy product sales decreased 6% compared to the same month in 2020; however, the marked growth between January and October is maintained, which was 12%. Brazil was the destination that fell the most (US $21 million in October 2020 to eight million in October 2021, which means a 60% drop), Algeria (-30%) and Cuba (-88%).

“However, the increase (265%) in sales to China stands out, reaching 13 million dollars, and offsets part of the decline in the main markets. The lower sales of powdered milk (-13%) could not be offset by the increase in butter exports (78%), being the only product with a positive impact in the month,” the report says.

Exports to Uruguay's main trading partner grew 77% in October 2021, compared to the same month in 2020, with an amount of US $ 230 million. The main exports were beef, meat by-products, wood, dairy products, fish and seafood.","Uruguayan exports on the rise, report shows"
20211108091500-859,https://en.mercopress.com/2021/11/08/brazilian-scientists-turn-down-medals-in-repudiation-of-president-bolsonaro,"Brazilian scientists turn down medals in repudiation of President Bolsonaro

8th Monday, November 2021 - 09:11 UTC Full article

A tribute by a government that ignores science and boycotts the recommendations of specialists is “not compatible with our careers,” the researchers wrote

A group of Brazilian scientists who were awarded the National Order of Scientific Merit have decided to turn down the honours after President Jair Bolsonaro chose to remove one of them from the list.

The decision came in solidarity after Bolsonaro refused to give the award to a researcher who had conducted a study on the ineffectiveness of chloroquine against the coronavirus. Chloroquine is a drug against malaria which Bolsonaro has defended throughout the COVID-19 pandemic.

In a public letter released this weekend, 21 researchers from different universities and scientific centres have renounced the National Order of Scientific Merit, after the head of state excluded Marcus Vinícius Guimaraes Lacerda of the Oswaldo Cruz Foundation medical research centre (Fiocruz) and Adele Schwartz Benzaken, director of Fiocruz for the Amazon.

A study by Lacerda shows how the use of chloroquine, a drug against malaria and lupus, is not only completely useless in patients with coronavirus, but if administered in higher doses it can also cause arrhythmias to people with heart conditions.

Benzaken, for her part, served as director of the department in charge of analyzing and investigating the AIDS disease and viral hepatitis of the Ministry of Health before being fired with the arrival of Bolsonaro to power.

Both had been included in the list of those who would receive the award this year by the Ministry of Science and Technology.

As scientists, we do not tolerate how denialism in general, peer harassment and recent cuts in federal budgets for science and technology have been used as tools to roll back the important advances made by the Brazilian scientific community in the last decades, the researchers said in a letter published by Folha de Sao Paulo.

Bolsonaro, who since the beginning of COVID-19 has minimized its effects and even recommended chloroquine as a medication, removed the two scientists from the list included in the decree published Saturday in an extraordinary issue of the Official Gazette.

The scientists resigning their medals addressed their letter to the Ministry of Science and Technology: We consider our presence on the list gratifying and we are very honoured with the possibility of receiving one of the highest recognitions that a scientist can receive in the country, but the tribute offered by a government that not only ignores science and actively boycotts the recommendations of specialists are not compatible with our careers.

According to an investigation by Congress, the Government's omissions in the face of the pandemic contributed to making Brazil the second country with the most deaths in the world, with more than 600,000 victims, and the third with more cases with 21.8 million infections.

The parliamentary committee that investigated the situation accused the president of nine crimes, including crimes against humanity, violation of sanitary measures and irregular use of public money.",Brazilian scientists turn down medals in repudiation of President Bolsonaro
